"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 05-Jan-2024"
"NIFTY 500","22,278.15","22,435.50","22,247.75","22,225.40","22,328.35","-","102.95","0.46","1,39,54,29,177","51,852.10","24,573.40","19,080.50","-4.66","13.45"
"KIRLOSBROS","1,972.50","2,224.00","1,972.50","1,960.85","2,208.00","-","247.15","12.60","19,50,791","420.97","2,684.00","837.00","-14.44","114.20"
"INTELLECT","914.95","1,013.60","914.95","901.90","999.35","-","97.45","10.80","1,38,64,798","1,368.10","1,199.00","693.00","14.11","9.65"
"PTCIL","15,750.00","17,145.00","15,680.15","15,645.50","16,922.00","-","1,276.50","8.16","1,00,877","166.62","17,145.00","6,748.05","34.87","121.29"
"AEGISLOG","855.00","931.80","855.00","846.30","911.80","-","65.50","7.74","1,46,48,726","1,318.61","970.00","330.40","3.94","-"
"BIOCON","363.10","388.95","363.10","358.10","382.60","-","24.50","6.84","1,71,69,047","655.77","395.80","244.55","-5.78","22.93"
"VIJAYA","1,153.00","1,215.00","1,140.10","1,126.30","1,198.70","-","72.40","6.43","23,46,175","277.20","1,249.95","596.05","-1.37","66.69"
"BSE","5,090.00","5,422.45","5,090.00","5,089.00","5,384.00","-","295.00","5.80","13,24,051","696.51","5,837.95","1,941.05","-5.70","120.90"
"INDIAMART","2,218.00","2,306.00","2,188.90","2,176.45","2,300.75","-","124.30","5.71","4,76,467","107.87","3,198.40","2,165.55","-7.69","-20.66"
"AMBER","7,648.80","8,177.00","7,614.55","7,664.80","8,100.00","-","435.20","5.68","12,34,928","979.92","8,177.00","2,992.50","32.00","135.14"
"PFIZER","5,133.00","5,496.95","5,091.30","5,128.70","5,412.05","-","283.35","5.52","90,305","48.42","6,451.15","3,950.00","-1.99","16.61"
"FACT","935.00","998.00","927.00","927.60","976.95","-","49.35","5.32","18,33,079","179.17","1,187.00","572.60","-9.90","14.38"
"JUSTDIAL","1,039.05","1,087.00","1,033.10","1,023.70","1,077.60","-","53.90","5.27","4,81,252","51.47","1,395.00","768.00","-9.21","25.67"
"RCF","169.00","179.80","169.00","168.21","176.64","-","8.43","5.01","41,00,926","72.26","245.00","118.40","-6.83","0.18"
"NCC","262.00","274.95","262.00","259.95","272.85","-","12.90","4.96","37,98,102","102.73","364.50","171.55","-17.24","48.97"
"INDGN","598.85","623.70","595.00","591.65","620.70","-","29.05","4.91","9,01,363","55.53","736.30","470.10","-4.63","-"
"UPL","521.00","548.20","520.00","521.30","545.60","-","24.30","4.66","33,73,274","182.52","600.96","430.58","-7.35","-10.31"
"FSL","391.00","422.30","386.45","391.00","408.90","-","17.90","4.58","1,18,83,387","489.51","422.30","176.25","4.04","102.33"
"ONGC","259.15","267.40","258.05","254.36","265.57","-","11.21","4.41","4,34,08,184","1,149.45","345.00","209.70","-2.19","17.51"
"CHAMBLFERT","480.95","505.50","480.65","479.60","500.25","-","20.65","4.31","17,35,154","86.68","574.35","332.05","-11.62","28.65"
"SWANENERGY","701.35","729.00","701.35","697.85","727.40","-","29.55","4.23","26,59,339","190.90","809.80","437.10","-3.20","24.56"
"MINDACORP","509.90","547.00","507.25","509.00","530.30","-","21.30","4.18","20,58,497","110.17","652.00","365.85","-3.36","33.86"
"NAVINFLUOR","3,350.00","3,493.30","3,333.75","3,346.90","3,485.20","-","138.30","4.13","2,44,972","84.36","3,847.70","2,875.95","-5.87","-12.45"
"VTL","492.00","510.00","492.00","487.10","506.75","-","19.65","4.03","1,65,632","8.31","592.00","376.15","-4.02","27.48"
"CENTURYPLY","809.95","854.50","803.10","809.70","842.00","-","32.30","3.99","3,05,798","25.64","935.00","622.10","2.77","4.84"
